"ibfn","NikeHost","2014-7-23","Materials","UK","327","NO"
"cap","AppleCompany","1921-3-20","Industrials","China","883","NO"
"tjr","BOSCHHost","1901-12-26","Financial","Russia","642","YES"
"agjznj","VoxCorporation","2020-11-6","Energy","China","909","YES"
"uplgm","VoxHost","2008-11-21","Consumer Cyclical","Russia","227","NO"
"mwwqsh","HuntingtonHost","1999-2-5","Financial","UK","600","NO"
"xwmk","AppleEnterprise","2009-13-8","CommunicationServices","Russia","167","NO"
"ncrx","AlalaneEmpire","1932-9-27","Semiconductors","Japan","464","NO"
"qfnwhz","MouseHost","1902-5-11","Industrials","Russia","275","NO"
"yrfc","BOSCHGalactic","1913-5-4","Technology","Japan","482","NO"
"myurtx","HospitalGalactic","1962-4-18","Healtcare","Italy","292","NO"
"rozzt","BOSCHHost","1971-6-23","Consumer Cyclical","Russia","317","NO"
"iomra","MouseGalactic","1991-10-5","Industrials","China","84","NO"
"yiobo","AlalaneHost","1983-11-9","Financial","France","582","YES"
"qmbsu","BOSCHCorporation","1918-10-1","Financial","China","50","NO"
"fglydd","BOSCHGalactic","2020-13-32","Consumer Cyclical","Italy","552","NO"
"icd","VirginInc","1904-2-9","Technology","France","758","YES"
"adckak","PapitaInc","1966-5-3","Semiconductors","USA","683","YES"
"xmw","PalantirCorporation","1996-4-12","Consumer Cyclical","Italy","187","YES"
"szozz","BurgerKingHost","2002-2-23","Financial","Japan","619","YES"
"pifd","MeuzauEmpire","1979-13-28","Semiconductors","China","340","YES"
"anypj","VirginCorporation","1948-9-17","CommunicationServices","USA","396","NO"
"hwhnnh","TeslaCompany","1904-7-20","Technology","USA","163","YES"
"hud","ReebolCompany","1944-10-4","Financial","Russia","82","NO"
"ldmqf","PapitaCompany","1901-11-18","Energy","Japan","389","YES"
"ytzizq","MarshalHolder","1946-3-16","CommunicationServices","UK","193","NO"
"sdfq","AdidasCorporation","1993-2-20","CommunicationServices","Russia","884","NO"
"mosqd","NikeEmpire","2011-13-29","Financial","Italy","149","NO"
"mucblj","KFCHost","1992-6-12","Materials","France","545","NO"
"rwqv","HPHolder","2017-6-14","Financial","UK","730","YES"
"xesm","NikeHost","1900-12-15","Energy","Germany","480","YES"
"tfskh","HuntingtonHolder","1963-9-2","CommunicationServices","Germany","262","NO"
"cmzmf","MindalEmpire","2013-7-1","Materials","Germany","299","YES"
"unnmf","VirginCorporation","1949-13-6","CommunicationServices","USA","521","YES"
"hvclue","AMDCorporation","1949-5-5","Consumer Cyclical","Italy","457","YES"
"xdcv","AppleEnterprise","1942-9-31","Consumer Cyclical","USA","538","YES"
"mlxz","NickelHost","1908-7-3","Technology","France","694","NO"
"xnub","AdidasHolder","1935-6-24","Consumer Cyclical","UK","200","NO"
"ifhzak","AMDHolder","1905-2-18","Materials","Italy","673","YES"
"jail","JuiceCompany","1952-11-24","CommunicationServices","UK","828","YES"
"rfda","MindalEnterprise","1983-13-3","Semiconductors","Russia","397","YES"
"xcmzgo","NickelCorporation","1962-10-5","Semiconductors","Japan","47","NO"
"owvjm","ToshibaEnterprise","2001-4-18","Industrials","Italy","286","YES"
"eeiaxl","TeslaCorporation","1920-11-2","Consumer Cyclical","China","308","NO"
"umzf","PapitaGalactic","1993-2-11","CommunicationServices","China","177","NO"
"jtmeiz","ToshibaCompany","1961-4-16","Industrials","USA","48","YES"
"clifd","AcerHolder","1904-11-11","Materials","Russia","60","NO"
"cvulwe","SamsungHost","1930-10-8","Energy","Russia","125","YES"
"flpb","LukoilEnterprise","1970-5-8","Financial","China","344","NO"
"xworlk","MeuzauCompany","2013-9-30","Technology","USA","268","YES"
"svy","OrangeInc","1989-8-30","Materials","Russia","889","YES"
"trjic","McDonaldsGalactic","1933-8-21","CommunicationServices","Japan","83","YES"
"majpfj","VoxCompany","1968-11-2","Financial","Germany","111","YES"
"csr","MaximGalactic","1953-8-30","Semiconductors","Russia","210","NO"
"tdipzj","MindalGalactic","1918-11-1","Semiconductors","France","957","YES"
"uvqw","MaximHost","2000-11-14","Technology","Russia","304","NO"
"rnx","AdidasCompany","1982-5-25","CommunicationServices","Germany","733","NO"
"eqi","AsusHost","2016-5-14","Healtcare","Japan","610","YES"
"asatfu","PalantirCorporation","2018-8-25","Materials","Italy","57","YES"
"zkcod","PalantirHolder","1918-8-20","Technology","France","620","NO"
"evsgls","AmazonEmpire","1957-5-5","Semiconductors","Russia","927","NO"
"cszxyh","MicrosoftEmpire","1928-7-6","Healtcare","France","353","YES"
"hwlhy","AlalaneEmpire","1981-10-5","Technology","Japan","204","YES"
"xrwul","MaximHost","1958-1-17","CommunicationServices","Russia","525","YES"
"tgnu","TeslaCompany","2003-3-13","Industrials","Russia","922","NO"
"hqf","AlalaneCompany","1982-11-1","Financial","Japan","297","NO"
"zil","AlalaneGalactic","1963-5-6","Energy","China","932","YES"
"gkluq","SimonEmpire","1993-1-16","Consumer Cyclical","China","171","YES"
"wis","NVIDIAHost","1980-6-32","Energy","France","783","NO"
"dtlati","LukoilCorporation","1959-9-20","CommunicationServices","Germany","62","NO"
"parkks","AdidasHolder","2018-2-15","Financial","Germany","901","NO"
"czzro","NVIDIAEmpire","1913-9-2","Healtcare","USA","128","NO"
"ddbe","AlalaneEnterprise","1984-7-17","Technology","USA","621","NO"
"fbxf","MirrowCorporation","1921-4-22","CommunicationServices","China","458","YES"
"fvb","TeslaCompany","1962-7-5","Technology","China","420","NO"
"eoa","MarshalCompany","1987-3-6","Industrials","USA","990","YES"
"wej","VirginEmpire","1990-5-4","CommunicationServices","Italy","598","NO"
"omj","AMDInc","1941-11-29","Industrials","Italy","198","NO"
"xais","SimonEmpire","2002-8-25","Industrials","Japan","232","YES"
"pvggsi","SberBankEmpire","1946-2-6","CommunicationServices","Italy","539","YES"
"bow","AMDCorporation","2011-10-16","Healtcare","China","81","YES"
"ndgsc","MindalCorporation","2001-1-16","CommunicationServices","France","37","NO"
"epcq","ToshibaInc","1982-4-15","Semiconductors","Germany","147","YES"
"jek","ReebolHolder","1980-12-21","Materials","Japan","732","NO"
"hpbuv","ToshibaEmpire","1915-6-6","Technology","Italy","54","YES"
"adhvoo","MarshalHolder","1907-3-3","Healtcare","Germany","613","NO"
"qtgxm","JuiceEnterprise","2005-6-13","Technology","Russia","508","NO"
"zed","MeuzauCorporation","1946-2-31","Consumer Cyclical","UK","668","YES"
"cekooh","SamsungEmpire","2004-2-12","Financial","Italy","537","NO"
"thc","KFCEnterprise","2012-12-18","Semiconductors","USA","504","NO"
"zepss","KFCEnterprise","2020-6-12","Healtcare","UK","390","NO"
"gbwb","MeuzauCompany","1900-10-32","Industrials","France","374","NO"
"rspdw","NVIDIAEnterprise","2003-13-7","Healtcare","USA","693","YES"
"atngp","MaximCorporation","1983-10-1","Technology","Russia","575","NO"
"zlkhzv","OrangeHolder","1942-5-21","Industrials","Japan","190","NO"
