"NASDSAQ","1908-12-2","YES"
"Chinadac","1920-4-6","YES"
"JAPANdac","1956-11-11","YES"
"JAPANdac","1968-13-20","YES"
"NASDSAQ","1900-9-23","NO"
"SPdaba","2001-6-16","YES"
"JAPANdac","2002-2-23","NO"
"JAPANdac","1979-9-2","YES"
"JAPANdac","1991-12-10","YES"
"JAPANdac","2011-12-25","NO"
"SPdaba","1959-12-23","YES"
"USAbIr","1911-9-5","NO"
"USAbIr","1925-4-13","NO"
"MOsbirja","1925-8-14","YES"
"JAPANdac","1974-5-25","NO"
"JAPANdac","2020-13-25","YES"
"USAbIr","1956-6-10","YES"
"Chinadac","1976-11-16","NO"
"USAbIr","2011-6-11","YES"
"MOsbirja","1961-10-5","NO"
"JAPANdac","1995-8-21","YES"
"NYSE","2001-7-29","NO"
"Russianaac","2003-1-19","NO"
"NASDSAQ","2015-4-9","NO"
"NYSE","1940-4-30","YES"
"MOsbirja","1969-13-19","YES"
"NYSE","1931-1-31","YES"
"SPdaba","1916-2-10","YES"
"MOsbirja","2002-11-19","YES"
"MOsbirja","1910-2-6","YES"
"USAbIr","1954-1-31","NO"
"JAPANdac","1940-10-3","YES"
"JAPANdac","1942-4-12","NO"
"NASDSAQ","1994-13-31","YES"
"Russianaac","1944-6-16","YES"
"SPdaba","1946-1-29","YES"
"SPdaba","1916-3-32","YES"
"SPdaba","1907-7-18","NO"
"JAPANdac","1944-5-16","NO"
"USAbIr","1952-2-9","YES"
"NASDSAQ","1970-8-17","YES"
"SPdaba","2015-13-12","NO"
"JAPANdac","1906-2-10","NO"
"NASDSAQ","1920-12-22","YES"
"NASDSAQ","2000-3-7","YES"
"JAPANdac","2007-1-20","YES"
"SPdaba","2020-3-24","YES"
"NASDSAQ","1932-10-12","NO"
"JAPANdac","1941-5-1","YES"
"Chinadac","1976-4-17","YES"
"Chinadac","1980-8-12","YES"
"NYSE","2011-3-26","YES"
"USAbIr","1992-3-10","YES"
"Chinadac","1978-12-5","YES"
"Russianaac","1971-10-11","NO"
"SPdaba","2001-9-27","NO"
"Chinadac","1927-12-10","YES"
"MOsbirja","1969-11-9","NO"
"NASDSAQ","1993-7-19","YES"
"Chinadac","1944-4-7","NO"
"JAPANdac","1996-4-31","YES"
"NYSE","2019-2-25","NO"
"MOsbirja","1942-4-26","YES"
"Chinadac","1971-12-17","YES"
"SPdaba","1934-11-28","NO"
"USAbIr","1902-7-25","YES"
"Chinadac","1962-2-19","YES"
"USAbIr","2012-12-1","YES"
"JAPANdac","1966-6-15","YES"
"Russianaac","1923-11-1","NO"
"MOsbirja","1924-7-17","YES"
"NASDSAQ","1952-4-8","NO"
"USAbIr","1967-7-28","YES"
"SPdaba","1988-6-3","NO"
"USAbIr","1995-13-12","YES"
"NYSE","2011-4-6","NO"
"NASDSAQ","1904-9-31","NO"
"USAbIr","1994-4-26","NO"
"Chinadac","1934-8-23","YES"
"SPdaba","1972-12-8","NO"
"NASDSAQ","1987-7-16","YES"
"Russianaac","1988-7-6","YES"
"Chinadac","2019-3-31","YES"
"Russianaac","1981-4-15","YES"
"NASDSAQ","2009-7-22","YES"
"NYSE","1934-10-3","NO"
"Russianaac","1910-8-13","NO"
"Russianaac","1903-3-9","NO"
"JAPANdac","1976-9-21","NO"
