"reb","HPCompany","1984-8-9","Financial","Germany","653","YES"
"hfxjp","BOSCHCompany","1954-5-11","Technology","Russia","889","YES"
"mqum","MicrosoftInc","1988-6-5","Technology","Japan","55","YES"
"bxih","AcerGalactic","1908-1-18","Semiconductors","UK","404","YES"
"qpdbg","KFCEmpire","1981-3-9","Healtcare","Germany","479","NO"
"udujug","NikeInc","1911-13-1","Energy","Japan","242","YES"
"tjts","KFCEnterprise","2020-7-12","CommunicationServices","Germany","377","NO"
"vgka","AppleCompany","2016-11-10","Financial","China","137","YES"
"vagca","JuiceHost","1931-5-11","Materials","Italy","573","YES"
"qvsi","HospitalCorporation","2020-4-8","Energy","China","193","YES"
"limo","SimonGalactic","1903-12-29","Technology","Japan","603","YES"
"wimhch","KFCCorporation","1997-9-6","Consumer Cyclical","Italy","644","NO"
"relgp","MirrowGalactic","1940-8-8","CommunicationServices","France","396","YES"
"orh","NLTHolder","1961-3-9","Technology","USA","718","YES"
"rien","NikeHost","2015-1-27","Energy","China","709","NO"
"gqz","NLTCorporation","1918-5-4","Financial","Russia","216","YES"
"css","AppleHolder","1956-13-16","Industrials","China","843","YES"
"awzmi","MouseCorporation","1994-9-26","Technology","Russia","324","NO"
"ndq","MirrowHost","2020-12-26","Industrials","China","279","NO"
"yxgjpq","MirrowGalactic","1966-1-31","Industrials","Japan","894","NO"
"grfssw","AMDHost","2013-13-10","Materials","Germany","409","YES"
"gnvmx","PalantirEmpire","2017-5-26","Energy","Japan","180","NO"
"wmtjp","AdidasInc","1918-9-21","Consumer Cyclical","Russia","128","NO"
"ueywcw","VirginHost","1975-9-28","Semiconductors","UK","462","NO"
"tqx","NikeHolder","1969-8-9","Semiconductors","Russia","516","YES"
"spzut","BOSCHHost","2018-3-7","Healtcare","UK","188","YES"
"rcpt","NikeEnterprise","2010-8-28","Energy","Russia","592","NO"
"equqiq","BurgerKingGalactic","1911-13-1","Consumer Cyclical","France","144","YES"
"mip","ReebolHolder","1906-3-23","Consumer Cyclical","USA","948","NO"
"mkl","NVIDIAHolder","1905-8-15","Technology","USA","322","YES"
"jqrore","MaximEnterprise","1969-4-32","Industrials","UK","668","YES"
"hvy","SimonEnterprise","2006-10-2","Financial","Italy","132","NO"
"inik","PapitaEmpire","2015-1-6","Consumer Cyclical","France","265","NO"
"hbu","MirrowCorporation","1918-13-9","Industrials","USA","1","YES"
"dohdu","AcerEnterprise","1995-10-18","Healtcare","Japan","12","YES"
"ukouaw","AcerCompany","2017-12-22","Materials","USA","628","YES"
"rvb","MicrosoftInc","1918-1-2","Consumer Cyclical","France","207","YES"
"ssj","AcerInc","1906-2-24","Semiconductors","UK","432","NO"
"qnlt","OrangeCompany","1966-5-9","CommunicationServices","France","623","YES"
"uquyld","AppleCompany","1962-12-27","Energy","Japan","746","YES"
"rydst","SamsungHolder","1936-2-9","Consumer Cyclical","Russia","379","YES"
"lrqkq","OrangeEmpire","1901-3-13","Energy","Germany","480","NO"
"rsrfnd","HospitalEmpire","1953-8-18","Semiconductors","France","510","NO"
"lgwib","AsusHost","1993-3-13","Technology","Germany","285","YES"
"arfd","PapitaHolder","1942-13-32","Energy","Germany","267","YES"
"uqdb","VirginHolder","1958-11-22","Consumer Cyclical","Russia","669","NO"
