"pcryf","AlalaneEmpire","1921-10-15","Energy","Germany","712","NO"
"sde","BurgerKingEmpire","1984-13-17","Industrials","Germany","949","YES"
"xxnx","MaximInc","1950-6-32","CommunicationServices","Russia","538","NO"
"vyg","LukoilEmpire","1900-4-17","Industrials","China","641","NO"
"ecvkq","MarshalEmpire","1912-1-13","Energy","UK","464","NO"
"gvh","ReebolInc","1971-5-4","Healtcare","China","659","YES"
"emm","VoxInc","1942-10-8","CommunicationServices","China","722","NO"
"fwe","TeslaCorporation","2017-9-5","Semiconductors","France","508","NO"
"kqji","MeuzauHost","1932-12-12","Consumer Cyclical","Italy","583","NO"
"rkklzp","VirginHolder","1904-3-12","Industrials","Italy","517","NO"
"gai","LukoilHost","2016-8-32","Industrials","Italy","232","NO"
"fme","BOSCHCorporation","1990-12-28","Industrials","Italy","826","NO"
"onih","AcerHolder","1988-4-22","Materials","UK","99","YES"
"fskcyk","PalantirHolder","1984-11-25","CommunicationServices","Germany","812","NO"
"tbmxcx","AMDEnterprise","2019-2-17","Technology","Japan","176","NO"
"mgvb","BOSCHHolder","1980-10-16","Semiconductors","Russia","108","YES"
"wmmdue","KFCCompany","1984-9-29","Materials","Italy","92","NO"
"omns","HuntingtonCorporation","1932-7-5","Energy","UK","657","NO"
"rav","LukoilGalactic","2011-8-17","Financial","Japan","143","NO"
"sim","NLTInc","1944-9-23","Consumer Cyclical","Japan","40","YES"
"bej","AppleGalactic","1904-9-7","Materials","Germany","107","YES"
"ysfo","NikeCorporation","1901-1-5","Energy","France","196","YES"
"svin","AsusEnterprise","1991-5-9","Materials","Germany","638","NO"
"hxhx","MaximInc","1908-13-14","CommunicationServices","Russia","24","YES"
"spzko","SberBankCompany","1993-1-32","Energy","China","920","YES"
"zviz","MicrosoftCorporation","1974-6-10","Healtcare","UK","1000","NO"
"qgje","NVIDIAHost","2008-2-24","Energy","Italy","783","NO"
"mlfv","AMDHost","2005-4-12","CommunicationServices","China","224","YES"
"ihcqi","AppleCompany","2019-3-27","CommunicationServices","Italy","286","NO"
"hkodak","KFCCorporation","1944-12-16","Healtcare","China","190","NO"
"rxewrw","MirrowCompany","1997-6-23","Materials","China","211","NO"
"glwxp","AMDCorporation","1947-8-24","Healtcare","Japan","922","NO"
"rkic","HPGalactic","2013-13-25","Semiconductors","China","795","YES"
"djmnxj","AppleInc","1902-6-22","Healtcare","USA","212","NO"
"tip","VirginGalactic","1905-13-6","Technology","UK","906","NO"
"yiv","HospitalCompany","1939-6-7","Energy","Italy","467","YES"
"hvm","MindalEnterprise","1961-9-2","Industrials","Italy","416","YES"
"mlxu","AlalaneEmpire","1971-11-18","Semiconductors","China","97","NO"
"xzwhj","VoxCorporation","2013-12-21","Consumer Cyclical","France","185","YES"
"oxb","VirginInc","1943-9-5","Energy","Italy","966","YES"
"zyhbss","LukoilHost","2008-12-5","Consumer Cyclical","Germany","674","YES"
"isfs","NickelCorporation","1904-7-9","Healtcare","USA","283","NO"
"qbg","VirginGalactic","1968-11-25","Energy","Russia","327","YES"
"osplj","MarshalEmpire","1906-4-2","Consumer Cyclical","Italy","419","NO"
"mjq","NickelCorporation","1958-5-32","Semiconductors","France","433","NO"
"pzfk","MarshalHost","2014-8-26","Healtcare","USA","873","NO"
"agbsh","SamsungCompany","1978-12-25","Healtcare","Japan","859","YES"
"acztyw","BOSCHInc","2021-7-2","CommunicationServices","France","229","YES"
"zca","BurgerKingHolder","1912-9-26","Energy","China","334","YES"
"qpwjis","VirginEnterprise","2008-11-23","Industrials","Russia","709","NO"
"zgo","LukoilHost","1951-10-13","CommunicationServices","France","183","YES"
"wix","KFCEmpire","1901-11-1","Industrials","Russia","886","NO"
"how","TeslaHolder","1973-6-6","Semiconductors","UK","842","NO"
"kakex","HuntingtonEnterprise","2015-7-18","Industrials","USA","956","NO"
"vexzg","AmazonCorporation","1974-2-13","Semiconductors","Germany","971","YES"
"jbwqb","ToshibaCompany","1974-8-10","Materials","USA","491","NO"
"bkmym","BOSCHEnterprise","1952-3-11","Materials","UK","606","YES"
"cyzz","BurgerKingEnterprise","2004-2-15","CommunicationServices","USA","258","YES"
"mhevs","MirrowCompany","1945-12-22","Industrials","France","437","YES"
"egzb","MirrowGalactic","1958-12-15","Materials","Japan","362","NO"
"mgmbs","MirrowHolder","2004-10-3","Materials","UK","373","YES"
"vgiivs","OrangeEmpire","1933-7-20","Technology","Japan","975","YES"
"qopl","HPCorporation","1926-7-4","Financial","UK","88","YES"
"bucq","JuiceCompany","1920-13-12","Consumer Cyclical","Italy","26","NO"
"grdpqc","McDonaldsInc","1908-13-22","Energy","France","319","NO"
"bvda","ToshibaHost","1993-10-22","Industrials","Russia","667","NO"
"hpycmn","TeslaCompany","1918-7-26","Consumer Cyclical","France","238","YES"
"natms","TeslaHolder","2011-7-10","Technology","China","347","YES"
"ktt","AppleHost","2019-8-18","Consumer Cyclical","France","65","NO"
"gyce","VoxInc","2012-6-6","Industrials","Russia","861","YES"
"idvh","MaximHolder","1961-7-4","Semiconductors","USA","942","YES"
"qzvwvr","OrangeEmpire","1985-8-24","Healtcare","UK","860","YES"
"zlf","NVIDIAGalactic","1992-10-26","CommunicationServices","UK","693","YES"
"rgddhz","NickelHost","2018-1-3","Materials","Russia","219","NO"
"rjz","JuiceGalactic","1910-12-1","Consumer Cyclical","Italy","492","NO"
"mpymtb","AmazonEnterprise","1922-2-19","Consumer Cyclical","China","785","YES"
"znjs","ToshibaHolder","1934-2-20","Financial","Japan","110","NO"
"gopne","AcerGalactic","1994-9-29","Industrials","France","978","NO"
"yufte","HospitalEmpire","1924-5-15","Energy","China","598","YES"
"mjp","MicrosoftEnterprise","1921-10-20","Energy","Japan","625","NO"
"bui","AcerHolder","1924-10-19","Semiconductors","France","307","YES"
"smcti","MindalHost","1938-9-9","Industrials","Russia","552","YES"
"cnw","PapitaEmpire","1986-13-27","Healtcare","China","109","YES"
"bxr","AcerHolder","2003-9-4","Industrials","France","280","YES"
"monc","NikeGalactic","1995-12-19","Technology","Russia","337","YES"
"jndba","NLTEmpire","1934-3-3","Technology","Russia","887","NO"
"weg","BOSCHGalactic","1918-9-20","Technology","Italy","397","YES"
"axy","HospitalHost","1957-12-24","Healtcare","Italy","470","YES"
"vgsdm","MarshalCorporation","1987-12-32","Healtcare","France","424","NO"
"nptrek","KFCGalactic","1965-7-32","Financial","UK","965","NO"
"pezdau","SberBankEnterprise","2006-3-31","Energy","Russia","928","YES"
"iiag","VoxCorporation","2015-1-18","CommunicationServices","USA","804","YES"
"xfci","VirginHolder","1946-9-8","Materials","France","194","YES"
"fskehj","AmazonHolder","1948-4-15","Industrials","Italy","907","NO"
"jogf","MouseHost","2021-4-16","CommunicationServices","Russia","273","YES"
"oongw","NLTCorporation","1988-13-16","Industrials","UK","115","NO"
"hvrrcu","ReebolInc","1929-4-19","Energy","Russia","919","NO"
"pguewn","KFCGalactic","2004-4-3","Technology","Russia","21","YES"
"meqra","VoxEnterprise","2006-3-6","Consumer Cyclical","Italy","321","NO"
"pdov","AcerHolder","1994-12-23","CommunicationServices","China","689","YES"
"xcjrsx","JuiceHolder","1972-4-16","Semiconductors","Italy","685","YES"
"nro","HospitalHolder","1996-7-26","Consumer Cyclical","France","312","YES"
"ugvo","MouseCorporation","2011-10-11","Semiconductors","USA","69","NO"
"hpkzt","PapitaCorporation","1990-5-15","CommunicationServices","UK","444","YES"
"grbnll","MeuzauHost","1960-10-3","Energy","Japan","98","NO"
"hmi","AdidasGalactic","2001-4-6","Healtcare","UK","893","NO"
"pgeoa","MicrosoftEmpire","1908-6-22","Consumer Cyclical","Germany","62","YES"
"pgxxc","ToshibaHost","1918-7-1","Energy","UK","903","YES"
"rlyvy","McDonaldsCorporation","1920-6-5","Technology","UK","933","NO"
"aotkd","NVIDIAGalactic","1948-11-9","Consumer Cyclical","France","230","NO"
"sgems","SamsungCompany","2000-3-11","Financial","UK","751","YES"
"luhyl","PalantirCompany","2011-5-28","Energy","Italy","430","NO"
"jyq","JuiceEnterprise","1942-11-11","Financial","USA","91","NO"
"ccmzpf","VirginCompany","1947-4-3","Semiconductors","Italy","2","YES"
"cwjz","VirginCorporation","1970-8-13","Industrials","Italy","364","NO"
